,winner,loser,weight_class,event
38,"Decision (unanimous) (29\xe2\x80\x9328, 30\xe2\x80\x9327, 29\xe2\x80\x9328)",5:00,Fabio Maldonado,UFC_on_FX_Johnson_vs_McCall
39,KO (punch),0:50,Jason MacDonald,UFC_on_FX_Johnson_vs_McCall
40,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Dongi Yang,UFC_on_FX_Johnson_vs_McCall
41,Submission (guillotine choke),3:05,Marcus LeVesseur,UFC_on_FX_Johnson_vs_McCall
42,"Decision (unanimous) (30\xe2\x80\x9327, 30\xe2\x80\x9327, 30\xe2\x80\x9327)",5:00,Carlo Prater,UFC_on_FX_Johnson_vs_McCall
43,Submission (rear-naked choke),1:40,Kamal Shalorus,UFC_on_FX_Johnson_vs_McCall
44,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Jeff Curran,UFC_on_FX_Johnson_vs_McCall
45,"Decision (unanimous) (30\xe2\x80\x9327, 30\xe2\x80\x9327, 30\xe2\x80\x9327)",5:00,Alex Soto,UFC_on_FX_Johnson_vs_McCall
46,"Decision (unanimous) (29\xe2\x80\x9328, 30\xe2\x80\x9327, 29\xe2\x80\x9328)",5:00,Ian McCall,UFC_on_FX_Johnson_vs_McCall
47,Submission (rear-naked choke),4:33,Charlie Brenneman,UFC_on_FX_Johnson_vs_McCall
48,KO (punch),4:56,Josh Neer,UFC_on_FX_Johnson_vs_McCall
49,KO (punches),4:10,Scott Jorgensen,UFC_on_FX_Johnson_vs_McCall
50,"Decision (unanimous) (30\xe2\x80\x9327, 30\xe2\x80\x9327, 30\xe2\x80\x9327)",5:00,Carlos Eduardo Rocha,UFC_on_FX_Johnson_vs_McCall
51,"Decision (split) (27\xe2\x80\x9330, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Lance Benoist,UFC_on_FX_Johnson_vs_McCall
52,"Decision (unanimous) (30\xe2\x80\x9327, 30\xe2\x80\x9327, 30\xe2\x80\x9327)",5:00,Leonard Garcia,UFC_on_FX_Johnson_vs_McCall
53,Submission (rear-naked choke),3:21,Jared Papazian,UFC_on_FX_Johnson_vs_McCall
54,TKO (knee & punches),1:06,Justin Salas,UFC_on_FX_Johnson_vs_McCall
55,"Decision (unanimous) (30\xe2\x80\x9327, 30\xe2\x80\x9327, 29\xe2\x80\x9328)",5:00,Caio Magalhaes,UFC_on_FX_Johnson_vs_McCall
56,"Decision (split) (30\xe2\x80\x9327, 28\xe2\x80\x9329, 29\xe2\x80\x9328)",5:00,Bernardo Magalhaes,UFC_on_FX_Johnson_vs_McCall
57,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Jake Hecht,UFC_on_FX_Johnson_vs_McCall
58,"Decision (unanimous) (49\xe2\x80\x9346, 50\xe2\x80\x9345, 49\xe2\x80\x9346)",5:00,Urijah Faber,UFC_on_FX_Johnson_vs_McCall
59,"Decision (split) (29\xe2\x80\x9328, 28\xe2\x80\x9329, 29\xe2\x80\x9328)",5:00,Hector Lombard,UFC_on_FX_Johnson_vs_McCall
60,"Decision (unanimous) (30\xe2\x80\x9328, 30\xe2\x80\x9327, 30\xe2\x80\x9327)",5:00,Shawn Jordan,UFC_on_FX_Johnson_vs_McCall
61,"Decision (split) (29\xe2\x80\x9328, 28\xe2\x80\x9329, 29\xe2\x80\x9328)",5:00,Brian Ebersole,UFC_on_FX_Johnson_vs_McCall
62,No Contest,2:02,Chris Clements,UFC_on_FX_Johnson_vs_McCall
63,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Court McGee,UFC_on_FX_Johnson_vs_McCall
64,No Contest,4:19,Roland Delorme,UFC_on_FX_Johnson_vs_McCall
65,KO (punch),0:07,Anthony Perosh,UFC_on_FX_Johnson_vs_McCall
66,Submission (rear-naked choke),1:39,Mitch Gagnon,UFC_on_FX_Johnson_vs_McCall
67,KO (punches),1:11,Daniel Pineda,UFC_on_FX_Johnson_vs_McCall
68,"Decision (split) (29\xe2\x80\x9328, 28\xe2\x80\x9329, 29\xe2\x80\x9328)",5:00,Mitch Clarke,UFC_on_FX_Johnson_vs_McCall
0,Jim Miller,Melvin Guillard,Lightweight,UFC_on_FX_Guillard_vs_Miller
1,Josh Neer,Duane Ludwig,Welterweight,UFC_on_FX_Guillard_vs_Miller
2,Mike Easton,Jared Papazian,Bantamweight,UFC_on_FX_Guillard_vs_Miller
3,Pat Barry,Christian Morecraft,Heavyweight,UFC_on_FX_Guillard_vs_Miller
4,Jorge Rivera,Eric Schafer,Middleweight,UFC_on_FX_Guillard_vs_Miller
5,Khabib Nurmagomedov,Kamal Shalorus,Lightweight,UFC_on_FX_Guillard_vs_Miller
6,Charlie Brenneman,Daniel Roberts,Welterweight,UFC_on_FX_Guillard_vs_Miller
7,Fabr\xc3\xadcio Cam\xc3\xb5es,Tommy Hayden,Lightweight,UFC_on_FX_Guillard_vs_Miller
8,Daniel Pineda,Pat Schilling,Featherweight,UFC_on_FX_Guillard_vs_Miller
9,Nick Denis,Joseph Sandoval,Bantamweight,UFC_on_FX_Guillard_vs_Miller
0,Ant\xc3\xb4nio Silva,Travis Browne,Heavyweight,UFC_on_FX_Browne_vs_Bigfoot
1,Jake Ellenberger,Jay Hieron,Welterweight,UFC_on_FX_Browne_vs_Bigfoot
2,John Dodson,Jussier Formiga,Flyweight,UFC_on_FX_Browne_vs_Bigfoot
3,Justin Edwards,Josh Neer,Welterweight,UFC_on_FX_Browne_vs_Bigfoot
4,Michael Johnson,Danny Castillo,Lightweight,UFC_on_FX_Browne_vs_Bigfoot
5,Mike Pierce,Aaron Simpson,Welterweight,UFC_on_FX_Browne_vs_Bigfoot
6,Marcus LeVesseur,Carlo Prater,Lightweight,UFC_on_FX_Browne_vs_Bigfoot
7,Jacob Volkmann,Shane Roller,Lightweight,UFC_on_FX_Browne_vs_Bigfoot
8,Diego Nunes,Bart Palaszewski,Featherweight,UFC_on_FX_Browne_vs_Bigfoot
9,Darren Uyenoyama,Phil Harris,Flyweight,UFC_on_FX_Browne_vs_Bigfoot
0,Vitor Belfort,Luke Rockhold,Middleweight,UFC_on_FX_Belfort_vs_Rockhold
1,Ronaldo Souza,Chris Camozzi,Middleweight,UFC_on_FX_Belfort_vs_Rockhold
2,Rafael dos Anjos,Evan Dunham,Lightweight,UFC_on_FX_Belfort_vs_Rockhold
3,Rafael Natal,Jo\xc3\xa3o Zeferino,Middleweight,UFC_on_FX_Belfort_vs_Rockhold
4,Nik Lentz,Hacran Dias,Featherweight,UFC_on_FX_Belfort_vs_Rockhold
5,Francisco Trinaldo,Mike Rio,Lightweight,UFC_on_FX_Belfort_vs_Rockhold
6,Gleison Tibau,John Cholish,Lightweight,UFC_on_FX_Belfort_vs_Rockhold
7,Paulo Thiago,Michel Prazeres,Welterweight,UFC_on_FX_Belfort_vs_Rockhold
8,Iuri Alc\xc3\xa2ntara,Iliarde Santos,Bantamweight,UFC_on_FX_Belfort_vs_Rockhold
9,Fabio Maldonado,Roger Hollett,Light Heavyweight,UFC_on_FX_Belfort_vs_Rockhold
10,John Lineker,Azamat Gashimov,Flyweight,UFC_on_FX_Belfort_vs_Rockhold
11,Jussier Formiga,Chris Cariaso,Flyweight,UFC_on_FX_Belfort_vs_Rockhold
12,Lucas Martins,Jeremy Larsen,Lightweight,UFC_on_FX_Belfort_vs_Rockhold
0,Demetrious Johnson (c),John Dodson,Flyweight,UFC_on_FX_Belfort_vs_Bisping
1,Featherweight,def.,[a],UFC_on_FX_Belfort_vs_Bisping
2,[b],Renan Bar\xc3\xa3o (ic),UFC 156,UFC_on_FX_Belfort_vs_Bisping
3,UFC on Fuel TV 7,Women\'s Bantamweight,3:57,UFC_on_FX_Belfort_vs_Bisping
4,4:49,[c],1,UFC_on_FX_Belfort_vs_Bisping
5,5,UFC 158,"Decision (unanimous) (50\xe2\x80\x9345, 50\xe2\x80\x9345, 50\xe2\x80\x9345)",UFC_on_FX_Belfort_vs_Bisping
6,"Decision (split) (47\xe2\x80\x9348, 48\xe2\x80\x9347, 48\xe2\x80\x9347)",5:00,Gilbert Melendez,UFC_on_FX_Belfort_vs_Bisping
7,Chael Sonnen,1,def.,UFC_on_FX_Belfort_vs_Bisping
8,def.,TKO (punches),Cain Velasquez (c),UFC_on_FX_Belfort_vs_Bisping
